
,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4790,Chris Pressley,26-053,2012-09-30,NFL,CIN,@,JAX,W 27-10,4,4,Sun,0,0,,0,2,1,1,1.00,1,,,,,,,,,6,1,0,1,1,0
4791,Michael Preston,23-191,2012-12-09,NFL,TEN,@,IND,L 23-27,13,14,Sun,0,0,,0,,1,11,11.00,0,,,,,,,,,0,1,0,11,11,0
4792,Brian Quick,23-166,2012-11-18,NFL,STL,,NYJ,L 13-27,10,11,Sun,0,0,,0,2,1,9,9.00,0,,,,,,,,,0,1,0,9,9,0
4793,Brian Quick,23-131,2012-10-14,NFL,STL,@,MIA,L 14-17,6,6,Sun,0,0,,0,2,1,1,1.00,0,,,,,,,,,0,1,0,1,1,0
4794,Brian Quick,23-145,2012-10-28,NFL,STL,,NWE,L 7-45,8,8,Sun,0,0,,0,4,1,39,39.00,0,,,,,,,,,0,1,0,39,39,0
4795,Brian Quick,23-187,2012-12-09,NFL,STL,@,BUF,W 15-12,13,14,Sun,0,0,,0,1,1,6,6.00,0,,,,,,,,,0,1,0,6,6,0
4796,Brian Quick,23-117,2012-09-30,NFL,STL,,SEA,W 19-13,4,4,Sun,0,0,,0,3,1,19,19.00,0,,,,,,,,,0,1,0,19,19,0
4797,Brian Quick,23-180,2012-12-02,NFL,STL,,SFO,W 16-13,12,13,Sun,0,0,,0,2,1,3,3.00,0,,,,,,,,,0,1,0,3,3,0
4798,Brian Quick,23-159,2012-11-11,NFL,STL,@,SFO,T 24-24,9,10,Sun,0,0,,0,1,1,36,36.00,1,,,,,,,,,6,1,0,36,36,0
4799,Brady Quinn,28-043,2012-12-09,NFL,KAN,@,CLE,L 7-30,13,14,Sun,1,4,4.00,0,0,0,0,,0,,,,,,,,,0,1,134,4,4,0
4800,Brady Quinn,28-029,2012-11-25,NFL,KAN,,DEN,L 9-17,11,12,Sun,1,-1,-1.00,0,1,0,0,,0,,,,,,,,,0,1,115,-1,-1,0
