
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
68,Andre Ellington,25-251,2014-10-12,NFL,ARI,,WAS,W 30-20,5,6,Sun,0,0,,0,0,0,,,,19,67,3.53,0,9,6,26,4.33,0,,,,,,,,,0,25,67,93,93,0
69,Andre Ellington,25-272,2014-11-02,NFL,ARI,@,DAL,W 28-17,8,9,Sun,0,0,,0,0,0,,,,21,95,4.52,0,4,4,39,9.75,1,,,,,,,,,6,25,95,134,134,0
70,Matt Forte,29-011,2014-12-21,NFL,CHI,,DET,L 14-20,15,16,Sun,0,0,,0,0,0,,,,19,55,2.89,0,6,6,40,6.67,1,,,,,,,,,6,25,55,95,95,0
71,Matt Forte,28-271,2014-09-07,NFL,CHI,,BUF,L 20-23,1,1,Sun,0,0,,0,0,0,,,,17,82,4.82,0,9,8,87,10.88,0,,,,,,,,,0,25,82,169,169,0
72,Matt Forte,28-320,2014-10-26,NFL,CHI,@,NWE,L 23-51,8,8,Sun,0,0,,0,0,0,,,,19,114,6.00,0,8,6,54,9.00,1,,,,,,,1,,8,25,114,168,168,0
73,Matt Forte,29-018,2014-12-28,NFL,CHI,@,MIN,L 9-13,16,17,Sun,0,0,,0,0,0,,,,17,51,3.00,0,12,8,23,2.88,0,,,,,,,,,0,25,51,74,74,0
74,Arian Foster,28-042,2014-10-05,NFL,HOU,@,DAL,L 17-20,5,5,Sun,0,0,,0,0,0,,,,23,157,6.83,2,5,2,15,7.50,0,,,,,,,,,12,25,157,172,172,0
75,Frank Gore,31-137,2014-09-28,NFL,SFO,,PHI,W 26-21,4,4,Sun,0,0,,0,0,0,,,,24,119,4.96,0,2,1,55,55.00,1,,,,,,,,,6,25,119,174,174,0
76,Jeremy Hill,22-069,2014-12-28,NFL,CIN,@,PIT,L 17-27,16,17,Sun,0,0,,0,0,0,,,,23,100,4.35,0,3,2,10,5.00,0,,,,,,,,,0,25,100,110,110,0
77,Jeremy Hill,22-013,2014-11-02,NFL,CIN,,JAX,W 33-23,8,9,Sun,0,0,,0,0,0,,,,24,154,6.42,2,1,1,9,9.00,0,,,,,,,,,12,25,154,163,163,0
78,Mark Ingram,24-344,2014-11-30,NFL,NOR,@,PIT,W 35-32,12,13,Sun,0,0,,0,0,0,,,,23,122,5.30,0,2,2,-1,-0.50,0,,,,,,,,,0,25,122,121,121,0
79,Mark Ingram,24-309,2014-10-26,NFL,NOR,,GNB,W 44-23,7,8,Sun,0,0,,0,0,0,,,,24,172,7.17,1,2,1,3,3.00,0,,,,,,,,,6,25,172,175,175,0
80,Chris Ivory,26-208,2014-10-16,NFL,NYJ,@,NWE,L 25-27,7,7,Thu,0,0,,0,0,0,,,,21,107,5.10,1,4,4,18,4.50,0,,,,,,,,,6,25,107,125,125,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
81,Fred Jackson,33-283,2014-11-30,NFL,BUF,,CLE,W 26-10,12,13,Sun,0,0,,0,0,0,,,,21,70,3.33,0,4,3,27,9.00,0,,,,,,,,,0,25,70,97,97,0
82,Marshawn Lynch,28-208,2014-11-16,NFL,SEA,@,KAN,L 20-24,10,11,Sun,0,0,,0,0,0,,,,24,124,5.17,0,3,1,1,1.00,0,,,,,,,,,0,25,124,125,125,0
83,LeSean McCoy,26-113,2014-11-02,NFL,PHI,@,HOU,W 31-21,8,9,Sun,0,0,,0,0,0,,,,24,117,4.88,0,1,1,6,6.00,0,,,,,,,,,0,25,117,123,123,0
84,LeSean McCoy,26-161,2014-12-20,NFL,PHI,@,WAS,L 24-27,15,16,Sat,0,0,,0,0,0,,,,22,88,4.00,1,4,3,28,9.33,0,,,,,,,,,6,25,88,116,116,0
85,LeSean McCoy,26-138,2014-11-27,NFL,PHI,@,DAL,W 33-10,12,13,Thu,0,0,,0,0,0,,,,25,159,6.36,1,0,0,0,,0,,,,,,,,,6,25,159,159,159,0
86,DeMarco Murray,26-270,2014-11-09,NFL,DAL,@,JAX,W 31-17,10,10,Sun,0,0,,0,0,0,,,,19,100,5.26,0,7,6,31,5.17,0,,,,,,,,,0,25,100,131,131,0
87,DeMarco Murray,26-228,2014-09-28,NFL,DAL,,NOR,W 38-17,4,4,Sun,0,0,,0,0,0,,,,24,149,6.21,2,1,1,6,6.00,0,,,,,,,,,12,25,149,155,155,0
88,DeMarco Murray,26-207,2014-09-07,NFL,DAL,,SFO,L 17-28,1,1,Sun,0,0,,0,0,0,,,,22,118,5.36,1,4,3,25,8.33,0,,,,,,,,,6,25,118,143,143,0
89,Latavius Murray,23-289,2014-12-07,NFL,OAK,,SFO,W 24-13,13,14,Sun,0,0,,0,0,0,,,,23,76,3.30,0,2,2,9,4.50,0,,,,,,,,,0,25,76,85,85,0
90,Bobby Rainey,26-333,2014-09-14,NFL,TAM,,STL,L 17-19,2,2,Sun,0,0,,0,0,0,,,,22,144,6.55,0,3,3,30,10.00,0,,,,,,,,,0,25,144,174,174,0
91,Stevan Ridley,25-230,2014-09-14,NFL,NWE,@,MIN,W 30-7,2,2,Sun,0,0,,0,0,0,,,,25,101,4.04,1,0,0,0,,0,,,,,,,,,6,25,101,101,101,0
92,Ben Tate,26-052,2014-10-12,NFL,CLE,,PIT,W 31-10,5,6,Sun,0,0,,0,0,0,,,,25,78,3.12,2,0,0,0,,0,,,,,,,,,12,25,78,78,78,0
93,Jamaal Charles,27-296,2014-10-19,NFL,KAN,@,SDG,W 23-20,6,7,Sun,0,0,,0,0,0,,,,22,95,4.32,1,4,2,12,6.00,0,,,,,,,,,6,24,95,107,107,0
94,Justin Forsett,29-041,2014-11-24,NFL,BAL,@,NOR,W 34-27,11,12,Mon,0,0,,0,0,0,,,,22,182,8.27,2,2,2,8,4.00,0,,,,,,,,,12,24,182,190,190,0
95,Arian Foster,28-098,2014-11-30,NFL,HOU,,TEN,W 45-21,12,13,Sun,0,0,,0,0,0,,,,19,79,4.16,0,7,5,26,5.20,1,,,,,,,,,6,24,79,105,105,0
96,Arian Foster,28-057,2014-10-20,NFL,HOU,@,PIT,L 23-30,7,7,Mon,0,0,,0,0,0,,,,20,102,5.10,0,6,4,13,3.25,1,,,,,,,,,6,24,102,115,115,0
97,Arian Foster,28-063,2014-10-26,NFL,HOU,@,TEN,W 30-16,8,8,Sun,0,0,,0,0,0,,,,20,151,7.55,2,6,4,22,5.50,1,,,,,,,,,18,24,151,173,173,0
98,Frank Gore,31-179,2014-11-09,NFL,SFO,@,NOR,W 27-24,9,10,Sun,0,0,,0,0,0,,,,23,81,3.52,1,1,1,2,2.00,0,,,,,,,,,6,24,81,83,83,0
99,LeSean McCoy,26-092,2014-10-12,NFL,PHI,,NYG,W 27-0,6,6,Sun,0,0,,0,0,0,,,,22,149,6.77,0,2,2,5,2.50,0,,,,,,,,,0,24,149,154,154,0
100,LeSean McCoy,26-127,2014-11-16,NFL,PHI,@,GNB,L 20-53,10,11,Sun,0,0,,0,0,0,,,,23,88,3.83,0,1,1,18,18.00,0,,,,,,,,,0,24,88,106,106,0
